Α/Α Διαγωνιστικής Διαδικασίας;Συνοπτικός Τίτλος;Τίτλος/Αντικείμενο;Προϋπολογισμός (€ χωρίς ΦΠΑ);Ημ/νία Δημοσίευσης στο Portal;Ημ/νία Έναρξης Υποβολών;Καταληκτική Ημ/νία Υποβολών;Κωδικός CPV;Περιγραφή CPV;Αναθέτουσα Αρχή/Αναθέτων Φορέας;Τόπος Παράδοσης;Κατάσταση;Link
367244;00233/2025 - Προμήθεια αντιδραστηρίων;Αντικείμενο της σύμβασης είναι η προμήθεια αντιδραστηρίων, στο πλαίσιο του έργου με Κ.Ε. 17188 και τίτλο «Μοριακή Διάγνωση SARS-CoV-2 (COVID-19)» του Εθνικού και Καποδιστριακού Πανεπιστημίου Αθηνών (ΕΚΠΑ). Η προμήθεια κρίνεται απαραίτητη και εξυπηρετεί τις ανάγκες των εργαστηριακών πρωτοκόλλων του παραπάνω έργου.;229.156;2025-02-10;2025-02-10;2025-03-14;33696300-8;Χημικά αντιδραστήρια;ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ, ., ., ΠΡΟΜΗΘΕΙΩΝ;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367244
367189;03050/2024 - Προμήθεια συστήματος αλληλούχισης νέας γενιάς υψηλής απόδοσης;Αντικείμενο της σύμβασης είναι η προμήθεια συστήματος αλληλούχισης νέας γενιάς υψηλής απόδοσης, για τις ανάγκες του Εργαστηρίου Μικροβιολογίας, στο πλαίσιο του έργου/προγράμματος με τίτλο «Μοριακή Διάγνωση SARS-CoV-2 (COVID-19)», με Κ.Ε. 17188, του Ειδικού Λογαριασμού Κονδυλίων Έρευνας, του Εθνικού και Καποδιστριακού Πανεπιστημίου Αθηνών (ΕΚΠΑ). Η προμήθεια του ανωτέρω συστήματος κρίνεται απαραίτητη και εξυπηρετεί τις ανάγκες των εργαστηριακών πρωτοκόλλων του παραπάνω έργου.;302.419;2025-02-10;2025-02-10;2025-03-14;38000000-5;Εξοπλισμός εργαστηριακός, οπτικός και ακριβείας (εκτός από γυαλιά);ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ, ., ., ΠΡΟΜΗΘΕΙΩΝ;ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367189
367375;Προμήθεια εξοπλισμού_12252;Προμήθεια Εξοπλισμού: Σύστημα φασματομετρίας μαζών;45.000;2025-02-10;2025-02-19;2025-02-26;38434560-9;Χημικοί αναλυτές;ΕΙΔ. ΛΟΓΑΡ.ΚΟΝΔΥΛΙΩΝ ΕΡΕΥΝΑΣ ΑΡΙΣΤ. ΠΑΝΕΠΙΣΤΗΜΙΟΥ ΘΕΣΣΑΛΟΝΙΚΗΣ, ., ., .;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367375
367341;02/2025 ΠΡΟΜΗΘΕΙΑ ΕΝΤΥΠΟΥ ΕΙΣΙΤΗΡΙΟΥ;Ανοικτός Ηλεκτρονικός Διαγωνισμός κάτω των ορίων για την προμήθεια έντυπου εισιτηρίου για τους Αρχαιολογικούς Χώρους και τα Μουσεία της χώρας, προϋπολογισμού 190.000,00 ευρώ, πλέον ΦΠΑ 24%, με κριτήριο κατακύρωσης την πλέον συμφέρουσα από οικονομική άποψη προσφορά βάσει τιμής;0;2025-02-10;2025-02-10;2025-02-28;22459000-2;Εισιτήρια;ΟΡΓΑΝΙΣΜΟΣ ΔΙΑΧΕΙΡΙΣΗΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΠΟΛΙΤΙΣΤΙΚΩΝ ΠΟΡΩΝ, ., ., .;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367341
367328;ΔΙΑΚΗΡΥΞΗ ΑΡ. 02/2025 ΗΜ-ΜΠΕΗ ΧΑΜΑΜ-ΙΚΡΙΩΜΑΤΑ;Αντικείμενο της σύμβασης είναι η τοποθέτηση, ενοικίαση και απομάκρυνση ικριωμάτων;15.783;2025-02-10;2025-02-10;2025-02-26;44212310-5;Ικριώματα;ΕΦΟΡΕΙΑ ΑΡΧΑΙΟΤΗΤΩΝ ΠΟΛΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ, ΑΡΧΑΙΟΤΗΤΩΝ ΚΑΙ ΠΟΛΙΤΙΣΤΙΚΗΣ ΚΛΗΡΟΝΟΜΙΑΣ, ., ΔΙΟΙΚΗΤΙΚΟ-ΛΟΓΙΣΤΙΚΟ;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367328
367301;Αποκομιδή οικιακών απορριμμάτων, και οδοκαθαρισμός του Δήμου Ιστιαιας-Αιδηψού;"Αντικείμενο της σύμβασης Αποκομιδή οικιακών απορριμμάτων και οδοκαθαρισμός σε τμήμα του Δήμου Ιστιαίας &#8211; Αιδηψού σύμφωνα με τους όρους της υπ’ αριθμ 07/2024 μελέτης και ειδικότερα περιλαμβάνεται: Α. Η παροχή υπηρεσιών αποκομιδής και μεταφοράς των οικιακών απορριμμάτων εντός του Χώρου Υγειονομικής Ταφής Απορριμμάτων Ιστιαίας Β. Ο χειρωνακτικός οδοκαθαρισμός οδών, πλατειών, πεζοδρόμων, πάρκων, κ.λ.π. στις ανωτέρω αναφερόμενες περιοχές και Καθαρισμός με αυτοκινούμενο μηχάνημα έργου (γεωργικός ελκυστήρας) σε ερείσματα οδικών αξόνων και λοιπών κοινοχρήστων χώρων σύμφωνα με τα αναφερόμενα στο ‘Αρθρο 4 της υπ' αριθμ 07/2024 μελέτης";2.655.465;2025-02-10;2025-02-11;2025-03-16;90511000-2;Υπηρεσίες αποκομιδής απορριμμάτων;ΔΗΜΟΣ ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ, ., ., ΠΡΟΜΗΘΕΙΩΝ;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367301
367213;Προμήθεια Φ/Β συστημάτων με εφαρμογή ενεργειακού συμψηφισμού στο υπ' αρίθμ. 420;Αντικείμενο της σύμβασης είναι η Προμήθεια Φ/Β συστημάτων με εφαρμογή ενεργειακού συμψηφισμού στο υπ' αρίθμ. 420 αγροτεμάχιο Κοινότητας Ν. Μουδανιών Τα προς προμήθεια είδη κατατάσσονται στους ακόλουθους κωδικούς του Κοινού Λεξιλογίου δημοσίων συμβάσεων (CPV): 09331200-0: Ηλιακά φωτοβολταϊκά στοιχεία.;736.000;2025-02-10;2025-02-10;2025-03-14;09331200-0;Ηλιακά φωτοβολταϊκά στοιχεία;ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ, ., ., .;ΜΕΓΑΛΟΥ ΑΛΕΞΑΝΔΡΟΥ 26 ΝΕΑ ΜΟΥΔΑΝΙΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367213
367322;ΔΙΑΚΗΡΥΞΗ 2/2025 ΨΗΦΙΑΚΗ ΠΥΛΗ;Ενιαία πύλη ψηφιακής πρόσβασης στην κοινωνική προστασία και Ψηφιακός μετασχηματισμός του Ο.Π.Ε.Κ.Α.;0;2025-02-10;2025-02-10;2025-03-17;72000000-5;Υπηρεσίες τεχνολογίας των πληροφοριών: παροχή συμβουλών, ανάπτυξη λογισμικού, Διαδίκτυο και υποστήριξη;Ο.Π.Ε.Κ.Α., ., ., ΠΡΟΜΗΘΕΙΩΝ;ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367322
367086;250/10-02-2025;Παροχή υπηρεσιών εστίασης (παρασκευή, σερβίρισμα εδεσμάτων και κάθε άλλης συναφούς υπηρεσίας)στο υποκατάστημα ΜΑΡΙΝΑ της ΔΕΠΑΝΑΛ ΑΕ για διάρκεια δώδεκα (12) μηνών.;215.694;2025-02-10;2025-02-10;2025-02-24;55312000-0,55330000-2,90910000-9;Υπηρεσίες εστιατορίων με σερβιτόρους μη περιορισμένης πελατείας,Υπηρεσίες καθαρισμού,Υπηρεσίες καφετέριας;ΠΟΛΥΜΕΤΟΧΙΚΗ ΔΗΜΟΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΠΟΛΙΤΙΣΜΟΥ ΤΟΥΡΙΣΜΟΥ ΑΝΑΠΤΥΞΗΣ ΗΡΑΚΛΕΙΟΥ (ΔΕΠΑΝΑΛ ΑΕ), ., ΔΙΟΙΚΗΤΙΚΟΥ & ΟΙΚΟΝΟΜΙΚΟΥ, .;ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367086
366997;4657/7-2-2025 ΠΡΟΜΗΘΕΙΑ ΥΓΡΩΝ ΚΑΥΣΙΜΩΝ ΚΑΙ ΛΙΠΑΝΤΙΚΩΝ ΔΗΜΟΥ ΚΟΖΑΝΗΣ;"4657/7-2-2025 Η προμήθεια καυσίμων (βενζίνη αμόλυβδη 95 oκτανίων, πετρέλαιο κίνησης, πετρέλαιο θέρμανσης) για την κάλυψη αναγκών των οχημάτων, μηχανημάτων έργου, λοιπών μηχανημάτων και των κτιρίων του Δήμου Κοζάνης και των ΝΠΔΔ, ΝΠΙΔ και των σχολικών επιτροπών α/βάθμιας και β/βάθμιας εκπαίδευσης του Δήμου και λιπαντικών για τη λειτουργία των οχημάτων, για διάστημα είκοσι τεσσάρων μηνών. Η προμήθεια κρίνεται απαραίτητη για την απρόσκοπτη λειτουργία των υπηρεσιών, την κίνηση των οχημάτων για την εκτέλεση των υπηρεσιών τους καθώς και τη θέρμανση των κτιρίων κατά τους χειμερινούς μήνες των ανωτέρω φορέων και υποδιαιρείται σε 51 Ομάδες- είδη1.1 ΟΜΑΔΑ Α, Α1-Α5: ΥΓΡΑ ΚΑΥΣΙΜΑ ΠΕΤΡΕΛΑΙΟ ΚΙΝΗΣΗΣ, ΠΕΤΡΕΛΑΙΟ ΘΕΡΜΑΝΣΗΣ, ΒΕΝΖΙΝΗ ΑΜΟΛΥΒΔΗ Κριτήριο κατακύρωσης θα είναι η πλέον συμφέρουσα προσφορά βάση τιμής, μεγαλύτερο ποσοστό έκπτωσης επί τοις εκατό (%), στην νόμιμα διαμορφούμενη κάθε φορά μέση τιμή λιανικής πώλησης στο Νομό Κοζάνης (βάσει του παρατηρητηρίου τιμών καυσίμων του Υπουργείου Οικονομίας, Ανάπτυξης και Τουρισμού όπως αυτές προσδιορίζονται από τη Δ/νση Ανάπτυξης Περιφερειακής Ενότητας Κοζάνης &#8211; Τμήμα Εμπορίου και Τουρισμού) για τη βενζίνη, το πετρέλαιο κίνησης και πετρέλαιο θέρμανσης. 1.2 ΟΜΑΔΕΣ Β, Β1 έως Β 46 ΛΙΠΑΝΤΙΚΑ ΟΧΗΜΑΤΩΝΚριτήριο κατακύρωσης είναι η πλέον συμφέρουσα προσφορά βάση τιμής (μεγαλύτερο ποσοστό έκπτωσης επί τοις εκατό (%)), ανά προμηθευόμενο είδος. Οι διαγωνιζόμενοι για να αναδειχθούν προμηθευτές θα προσφέρουν, για κάθε ένα από τα υπό προμήθεια είδη που θα συμπεριλάβουν στην προσφορά τους, διακριτό ποσοστό έκπτωσης ανα είδος στις τιμές του πίνακα κόστους ενδεικτικών τιμών ειδών λιπαντικών";4.439.267;2025-02-10;2025-02-10;2025-03-18;09132100-4,09134200-9,09135100-5,09211000-1;Αμόλυβδη βενζίνη,Καύσιμο πετρελαιοκινητήρων ντίζελ,Λιπαντικά έλαια και λιπαντικά μέσα,Πετρέλαιο θέρμανσης;ΔΗΜΟΣ ΚΟΖΑΝΗΣ, ΟΙΚΟΝΟΜΙΚΩΝ ΥΠΗΡΕΣΙΩΝ, ΛΟΓΙΣΤΗΡΙΟΥ, ΠΡΟΜΗΘΕΙΩΝ;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366997
366844;Παροχή υπηρεσιών συντήρησης εξοπλισμού πληροφορικής;Παροχή υπηρεσιών συντήρησης εξοπλισμού πληροφορικής Κεντρικών και Περιφερειακών Υπηρεσιών της ΑΑΔΕ;96.774;2025-02-10;2025-02-10;2025-03-06;50312000-5;Υπηρεσίες συντήρησης και επισκευής εξοπλισμού ηλεκτρονικών υπολογιστών;ΑΝΕΞΑΡΤΗΤΗ ΑΡΧΗ ΔΗΜΟΣΙΩΝ ΕΣΟΔΩΝ, -, -, -;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366844
367264;2519_CRM_ROLLOUT_SYZ2;"Διενέργεια Ηλεκτρονικού Ανοικτού Κάτω των Ορίων Διαγωνισμού με κριτήριο ανάθεσης ""την πλέον συμφέρουσα από οικονομική άποψη προσφορά βάσει τιμής"" για το έργο: «Επαύξηση λειτουργικότητας του ΠΣ Υποστήριξης και Παρακολούθησης των φάσεων site survey και rollout του ΣΥΖΕΥΞΙΣ ΙΙ», με Κωδ. ΟΠΣ: 5136039, του ΕΠ «Δράσεις επέκτασης και υποστήριξης του Εθνικού Δικτύου Τηλεπικοινωνιών» του Ταμείου Ανάκαμψης & Ανθεκτικότητας.";210.000;2025-02-10;2025-02-10;2025-02-28;72000000-5;Υπηρεσίες τεχνολογίας των πληροφοριών: παροχή συμβουλών, ανάπτυξη λογισμικού, Διαδίκτυο και υποστήριξη;ΚΟΙΝΩΝΙΑ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ Α.Ε., ΕΠΙΧΕΙΡΗΣΙΑΚΗ ΜΟΝΑΔΑ ΔΙΟΙΚΗΣΗΣ & ΟΙΚΟΝΟΜΙΚΗΣ ΔΙΑΧΕΙΡΙΣΗΣ, ΤΟΜΕΑΣ ΠΡΟΜΗΘΕΙΩΝ & ΣΥΜΒΑΣΕΩΝ, .;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367264
367300;ΠΑΡΑΚΟΛΟΥΘΗΣΗ ΛΕΙΤΟΥΡΓΙΑ ΣΥΝΤΗΡΗΣΗ ΕΠΙΣΚΕΥΗ ΥΠΟΔ ΔΙΚΤΥΩΝ ΥΔΡΕΥΣΗΣ ΑΠΟΧΕΤΕΥΣΗΣ;ΠΑΡΑΚΟΛΟΥΘΗΣΗ ΛΕΙΤΟΥΡΓΙΑ ΣΥΝΤΗΡΗΣΗ ΕΠΙΣΚΕΥΗ ΥΠΟΔΟΜΩΝ ΔΙΚΤΥΩΝ ΥΔΡΕΥΣΗΣ ΑΠΟΧΕΤΕΥΣΗΣ ΔΕΥΑ ΝΑΥΠΑΚΤΙΑΣ;189.400;2025-02-10;2025-02-10;2025-03-18;45330000-9;Υδραυλικές εργασίες;ΔΕΥΑ ΝΑΥΠΑΚΤΙΑΣ, ., ., ΟΙΚΟΝΟΜΙΚΗ ΥΠΗΡΕΣΙΑ;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367300
365832;ΠΡΟΜΗΘΕΙΑ ΥΓΡΩΝ ΚΑΥΣΙΜΩΝ ΤΟΥ ΔΗΜΟΥ ΜΕΤΕΩΡΩΝ;ΠΡΟΜΗΘΕΙΑ ΥΓΡΩΝ ΚΑΥΣΙΜΩΝ ΤΟΥ ΔΗΜΟΥ ΜΕΤΕΩΡΩΝ ΟΙΚ. ΕΤΩΝ 2025, 2026 & 2027;901.300;2025-02-10;2025-02-12;2025-03-19;09132100-4,09134100-8,09135100-5;Αμόλυβδη βενζίνη,Πετρέλαιο θέρμανσης,Πετρέλαιο ντίζελ;ΔΗΜΟΣ ΜΕΤΕΩΡΩΝ, ., ΔΙΟΙΚΗΤΙΚΩΝ ΚΑΙ ΟΙΚΟΝΟΜΙΚΩΝ ΥΠΗΡΕΣΙΩΝ/ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ-ΛΟΓΙΣΤΗΡΙΟΥ ΚΑΙ ΠΡΟΜΗΘΕΙΩΝ, .;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/365832
367323;ΔΙΑΚΗΡΥΞΗ ΑΡ. 01/2025 ΗΜ-ΜΠΕΗ ΧΑΜΑΜ;Αντικείμενο της σύμβασης είναι η προμήθεια και τοποθέτηση ηλεκτρομηχανολογικού εξοπλισμού για εγκαταστάσεις ισχυρών και ασθενών ρευμάτων, φωτισμού ανάδειξης, πυρανίχνευσης, πυρόσβεσης και υδραυλικών.;72.580;2025-02-10;2025-02-10;2025-02-28;31720000-9;Ηλεκτρομηχανολογικός εξοπλισμός;ΕΦΟΡΕΙΑ ΑΡΧΑΙΟΤΗΤΩΝ ΠΟΛΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ, ΑΡΧΑΙΟΤΗΤΩΝ ΚΑΙ ΠΟΛΙΤΙΣΤΙΚΗΣ ΚΛΗΡΟΝΟΜΙΑΣ, ., ΔΙΟΙΚΗΤΙΚΟ-ΛΟΓΙΣΤΙΚΟ;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367323
366980;ΔΙΑΓΩΝ. ΚΑΘΑΡΙΟΤΗΤΑΣ ΠΔΜ 1/2025;Ανάδειξη αναδόχου/-ων για την παροχή υπηρεσιών καθαριότητας του Πανεπιστημίου Δυτ. Μακεδονίας σε Κοζάνη, Φλώρινα, Καστοριά, Γρεβενά & Πτολεμαΐδα, για χρονικό διάστημα τριών ετών από την υπογραφή της σύμβασης, συνολικού προϋπολογισμού 2.136.262,08 € συμπεριλαμβανομένου ΦΠΑ 24%. Αριθμός Διακήρυξης 1/2025;1.722.792;2025-02-10;2025-03-11;2025-03-18;90911200-8;Υπηρεσίες καθαρισμού κτιρίων;ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ, ., ., ΠΡΟΜΗΘΕΙΩΝ;ΠΕΡΙΟΧΗ ΖΕΠ ΚΟΖΑΝΗΣ ΚΟΖΑΝΗ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366980
366725;Παρακολούθηση της ποιότητας των υδάτων κολύμβησης στην περιφέρεια Κρήτης;Η παρακολούθηση της ποιότητας των υδάτων κολύμβησης των ακτών της Περιφέρειας Κρήτης για τα έτη 2025 έως 2029 και η επικαιροποίηση/δημιουργία Ταυτοτήτων νέων Ακτών κολύμβησης.;159.011;2025-02-10;2025-02-10;2025-03-18;90733100-5;Υπηρεσίες παρακολούθησης ή ελέγχου ρυπασμένων επιφανειακών υδάτων;ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΚΡΗΤΗΣ, ΓΕΝΙΚΗ ΔΙΕΥΘΥΝΣΗ ΧΩΡΟΤΑΞΙΚΗΣ, ΠΕΡΙΒΑΛΛΟΝΤΙΚΗΣ & ΑΓΡΟΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ Α.Δ. ΚΡΗΤΗΣ, ΔΙΕΥΘΥΝΣΗ ΥΔΑΤΩΝ, ΤΜΗΜΑ ΔΙΟΙΚΗΤΙΚΗΣ ΥΠΟΣΤΗΡΙΞΗΣ & ΕΠΙΚΟΙΝΩΝΙΑΣ;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366725
365827;ΠΡΟΜΗΘΕΙΑ ΑΚΤΙΝΟΛΟΓΙΚΩΝ ΦΙΛΜ ΓΙΑ ΕΝΑ ΕΤΟΣ;ΠΡΟΜΗΘΕΙΑ ΑΚΤΙΝΟΛΟΓΙΚΩΝ ΦΙΛΜ ΓΙΑ ΕΝΑ (1) ΕΤΟΣ;86.516;2025-02-10;2025-02-10;2025-03-04;32354100-0;Ακτινολογικό φιλμ;Γ.Ν. ΜΥΤΙΛΗΝΗΣ, ., ., .;Αβέρωφ 12 Αθήνα;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/365827
367294;ΠΡΟΜΗΘΕΙΑ ΑΝΤΙΔΡΑΣΤΗΡΙΩΝ ΑΕΡΙΩΝ ΑΙΜΑΤΟΣ;ΠΡΟΜΗΘΕΙΑ ΑΝΤΙΔΡΑΣΤΗΡΙΩΝ ΑΕΡΙΩΝ ΑΙΜΑΤΟΣ ΜΕ ΣΥΝΟΔΟ ΕΞΟΠΛΙΣΜΟ;78.400;2025-02-10;2025-02-10;2025-02-28;33696300-8;Χημικά αντιδραστήρια;ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ «ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ», ., ., .;Αβέρωφ 12 Αθήνα;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367294
366977;Αρ. πρωτ. 1998/06.02.2025 Φορτωτής - Εκσκαφέας;Προμήθεια ενός (1) μηχανήματος έργου (ΦΟΡΤΩΤΗΣ - ΕΚΣΚΑΦΕΑΣ);116.612;2025-02-10;2025-02-27;2025-03-10;43200000-5;Μηχανήματα χωματουργικών εργασιών και εκσκαφών και συναφή μέρη;ΔΗΜΟΣ ΛΗΜΝΟΥ, ., ΔΙΟΙΚΗΤΙΚΟΥ - ΟΙΚΟΝΟΜΙΚΟΥ, ΕΞΟΔΩΝ - ΛΟΓΙΣΤΗΡΙΟΥ;ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366977
366934;Δ.188 ΑΝΑΔΕΙΞΗ ΑΝΑΔΟΧΩΝ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΕΠΙΣΚ.&ΣΥΝΤ. ΙΑΤΡ/ΚΟΥ ΕΞΟΠΛΙΣΜΟΥ.;ΗΛ. ΑΝ. ΔΙΑΓΩΝΙΣΜΟΣ ΓΙΑ ΤΗΝ ΑΝΑΔΕΙΞΗ ΑΝΑΔΟΧΩΝ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΕΠΙΣΚΕΥΗΣ ΚΑΙ ΣΥΝΤΗΡΗΣΗΣ ΙΑΤΡΟΤΕΧΝΟΛΟΓΙΚΟΥ ΕΞΟΠΛΙΣΜΟΥ, CPV50421000-2, ΠΡΟΫΠ.1.450.183,77€.;1.169.503;2025-02-10;2025-02-10;2025-03-17;50421000-2;Υπηρεσίες επισκευής και συντήρησης ιατρικού εξοπλισμού;ΑΓΙΟΣ ΣΑΒΒΑΣ, ., ., .;Λ. Αλεξάνδρας 171 Αθήνα;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366934
367279;Αρ. διακ. 02/2025;Παροχή υπηρεσιών οργάνωσης εκδρομών εκπαιδευομένων - Yποέργο 23;48.000;2025-02-10;2025-02-10;2025-03-03;63510000-7;Υπηρεσίες ταξιδιωτικών πρακτορείων και συναφείς υπηρεσίες;ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ-ΕΙΔΙΚΟΣ ΛΟΓΑΡΙΑΣΜΟΣ ΚΟΝΔΥΛΙΩΝ ΕΡΕΥΝΑΣ, ., ., .;ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367279
359013,1;Αριθμός Διακήρυξης:3963/03-02-2025 (Προμήθεια Τροφίμων 25-26-27);ΑΝΟΙΚΤΟΣ ΗΛΕΚΤΡΟΝΙΚΟΣ ΔΙΑΓΩΝΙΣΜΟΣ,ΑΝΩ ΤΩΝ ΟΡΙΩΝ ,ΜΕ ΚΡΙΤΗΡΙΟ ΚΑΤΑΚΥΡΩΣΗΣ ΤΗΣ ΣΥΜΦΕΡΟΤΕΡΗ ΑΠΟ ΟΙΚΟΝΟΜΙΚΗΣ ΑΠΟΨΗΣ ΠΡΟΣΦΟΡΑ ΑΠΟΚΛΕΙΣΤΙΚΑ ΒΑΣΗ ΤΙΜΗΣ,ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΤΡΟΦΙΜΩΝ ΓΙΑ ΤΙΣ ΑΝΑΓΚΕΣ ΛΕΙΤΟΥΡΓΙΑΣ ΤΩΝ ΚΟΙΝΩΝΙΚΩΝ ΔΟΜΩΝ ΤΟΥ ΔΗΜΟΥ ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ (ΔΗΜΟΤΙΚΟΙ ΠΑΙΔΙΚΟΙ ΣΤΑΘΜΟΙ,ΚΟΙΝΩΝΙΚΟ ΠΑΝΤΟΠΩΛΕΙΟ,ΚΟΙΝΩΝΙΚΟ ΣΥΣΣΙΤΙΟ,ΠΑΡΑΡΤΗΜΑΤΑ ΚΑΠΗ) ΓΙΑ ΧΡΟΝΙΚΟ ΔΙΑΣΤΗΜΑ ΔΥΟ (2) ΕΤΩΝ ΑΠΟ ΤΗΝ ΥΠΟΓΡΑΦΗ ΤΗΣ ΣΥΜΒΑΣΗΣ.;2.931.988;2025-02-10;2025-02-10;2025-03-12;15110000-2,15300000-1,15411110-6,15511100-4,15800000-6,15810000-9,15812000-3;Αρτοσκευάσματα, φρέσκα είδη ζαχαροπλαστικής και γλυκίσματα,Διάφορα προϊόντα διατροφής,Είδη ζαχαροπλαστικής και γλυκίσματα,Ελαιόλαδο,Κρέας,Παστεριωμένο γάλα,Φρούτα, λαχανικά και συναφή προϊόντα;ΔΗΜΟΣ ΚΕΡΑΤΣΙΝΙΟΥ ΔΡΑΠΕΤ., ., ., .;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/359013,1
